City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,villamontes,-21.25,-63.5,23.55,52,69,3.33,BO,1691799838
273,yulinshi,38.2906,109.7494,21.83,68,0,2.19,CN,1691799838
274,rawai,7.7797,98.3253,29.43,74,26,6.35,TH,1691799838
275,amos,48.5669,-78.1162,15.21,78,81,0.99,CA,1691799838
276,chul'man,56.8479,124.9104,19.13,69,100,3.37,RU,1691799838
277,soledad,10.9184,-74.7646,30.07,79,40,4.12,CO,1691799838
278,entebbe,0.0644,32.4469,20.22,81,10,2.13,UG,1691799839
279,kaa-khem,51.6833,94.7333,18.62,69,87,0.42,RU,1691799839
280,tocoa,15.6833,-86.0,29.79,82,35,2.0,HN,1691799839
281,mopti,14.6667,-4.0,28.33,64,91,3.67,ML,1691799839
282,tilaran,10.4703,-84.9671,26.15,89,84,3.85,CR,1691799839
283,nizhneudinsk,54.9076,99.0276,17.39,77,42,0.51,RU,1691799839
284,sarangani,5.4033,125.4636,27.73,77,92,4.83,PH,1691799839
285,dakhla,23.6848,-15.958,22.08,83,84,7.06,EH,1691799840
286,lorengau,-2.0226,147.2712,28.42,72,77,7.07,PG,1691799840
287,abu road,24.4833,72.7833,23.81,91,70,2.6,IN,1691799546
288,sorsk,54.0033,90.2467,13.42,98,95,1.72,RU,1691799840
289,taltal,-25.4,-70.4833,16.42,79,37,3.03,CL,1691799840
290,new norfolk,-42.7826,147.0587,10.72,72,63,3.58,AU,1691799840
291,canutama,-6.5339,-64.3831,26.56,66,77,0.77,BR,1691799840
292,blythe,33.6103,-114.5964,40.25,21,0,4.12,US,1691799840
293,laguna,38.421,-121.4238,34.14,36,0,2.57,US,1691799841
294,chuzhou,32.3219,118.2978,28.88,72,17,1.8,CN,1691799841
295,lyangasovo,58.5176,49.4472,16.68,85,0,1.12,RU,1691799841
296,lerwick,60.1545,-1.1494,12.0,93,14,3.06,GB,1691799841
297,sakaraha,-22.9,44.5333,10.94,73,0,0.65,MG,1691799841
298,argentan,48.75,-0.0167,18.26,98,99,4.05,FR,1691799842
299,kota tinggi,1.7381,103.8999,28.02,71,6,0.96,MY,1691799842
300,agat village,13.3886,144.6585,29.06,89,0,3.6,GU,1691799842
301,xinghua,32.9392,119.8342,28.38,78,53,3.05,CN,1691799843
302,aripuana,-9.1667,-60.6333,25.85,63,83,1.1,BR,1691799843
303,phongsali,21.6833,102.1058,17.23,99,99,0.49,LA,1691799843
304,lompoc,34.6391,-120.4579,28.72,79,40,4.12,US,1691799843
305,port saint john's,-31.6229,29.5448,18.26,57,0,3.43,ZA,1691799843
306,kalmunai,7.4167,81.8167,25.69,82,68,1.45,LK,1691799843
307,tolanaro,-25.0319,46.9987,13.04,94,20,0.0,MG,1691799844
308,lashkar gah,31.5938,64.3716,28.91,14,0,1.44,AF,1691799844
309,north shore,-36.8,174.75,13.55,72,100,2.68,NZ,1691799844
310,ovalle,-30.5983,-71.2003,17.53,45,38,0.66,CL,1691799844
311,baiyin,36.5583,104.2081,19.08,63,0,1.61,CN,1691799844
312,tinghir,31.5157,-5.5343,28.1,26,56,2.99,MA,1691799845
